"REF_DATE","GEO","DGUID","Supply and disposition","Unit of measure","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-01","Ontario","2021A000235","Residential consumption","Cubic metres","Cubic metres","72","thousands","3","v107638524","7.4.1","1576767.0","","","","1"
"2022-02","Ontario","2021A000235","Residential consumption","Cubic metres","Cubic metres","72","thousands","3","v107638524","7.4.1","1265240.0","","","","1"
"2022-03","Ontario","2021A000235","Residential consumption","Cubic metres","Cubic metres","72","thousands","3","v107638524","7.4.1","1046680.0","","","","1"
"2022-04","Ontario","2021A000235","Residential consumption","Cubic metres","Cubic metres","72","thousands","3","v107638524","7.4.1","753169.0","","","","1"
"2022-05","Ontario","2021A000235","Residential consumption","Cubic metres","Cubic metres","72","thousands","3","v107638524","7.4.1","333136.0","","","","1"
"2022-06","Ontario","2021A000235","Residential consumption","Cubic metres","Cubic metres","72","thousands","3","v107638524","7.4.1","233289.0","","","","1"
"2022-07","Ontario","2021A000235","Residential consumption","Cubic metres","Cubic metres","72","thousands","3","v107638524","7.4.1","219438.0","","","","1"
"2022-08","Ontario","2021A000235","Residential consumption","Cubic metres","Cubic metres","72","thousands","3","v107638524","7.4.1","194759.0","","","","1"
"2022-09","Ontario","2021A000235","Residential consumption","Cubic metres","Cubic metres","72","thousands","3","v107638524","7.4.1","230105.0","","","","1"
"2022-10","Ontario","2021A000235","Residential consumption","Cubic metres","Cubic metres","72","thousands","3","v107638524","7.4.1","458763.0","","","","1"
"2022-11","Ontario","2021A000235","Residential consumption","Cubic metres","Cubic metres","72","thousands","3","v107638524","7.4.1","800112.0","","","","1"
"2022-12","Ontario","2021A000235","Residential consumption","Cubic metres","Cubic metres","72","thousands","3","v107638524","7.4.1","1128532.0","","","","1"
"2023-01","Ontario","2021A000235","Residential consumption","Cubic metres","Cubic metres","72","thousands","3","v107638524","7.4.1","1222372.0","","","","1"
"2023-02","Ontario","2021A000235","Residential consumption","Cubic metres","Cubic metres","72","thousands","3","v107638524","7.4.1","1263446.0","","","","1"
"2023-03","Ontario","2021A000235","Residential consumption","Cubic metres","Cubic metres","72","thousands","3","v107638524","7.4.1","1043949.0","","","","1"
"2023-04","Ontario","2021A000235","Residential consumption","Cubic metres","Cubic metres","72","thousands","3","v107638524","7.4.1","659394.0","","","","1"
"2023-05","Ontario","2021A000235","Residential consumption","Cubic metres","Cubic metres","72","thousands","3","v107638524","7.4.1","342246.0","","","","1"
"2023-06","Ontario","2021A000235","Residential consumption","Cubic metres","Cubic metres","72","thousands","3","v107638524","7.4.1","209761.0","","","","1"
"2023-07","Ontario","2021A000235","Residential consumption","Cubic metres","Cubic metres","72","thousands","3","v107638524","7.4.1","210329.0","","","","1"
"2023-08","Ontario","2021A000235","Residential consumption","Cubic metres","Cubic metres","72","thousands","3","v107638524","7.4.1","197688.0","","","","1"
"2023-09","Ontario","2021A000235","Residential consumption","Cubic metres","Cubic metres","72","thousands","3","v107638524","7.4.1","214526.0","","","","1"
"2023-10","Ontario","2021A000235","Residential consumption","Cubic metres","Cubic metres","72","thousands","3","v107638524","7.4.1","418492.0","","","","1"
"2023-11","Ontario","2021A000235","Residential consumption","Cubic metres","Cubic metres","72","thousands","3","v107638524","7.4.1","847589.0","","","","1"
"2023-12","Ontario","2021A000235","Residential consumption","Cubic metres","Cubic metres","72","thousands","3","v107638524","7.4.1","991873.0","","","","1"
"2024-01","Ontario","2021A000235","Residential consumption","Cubic metres","Cubic metres","72","thousands","3","v107638524","7.4.1","1338262.0","","","","1"
"2024-02","Ontario","2021A000235","Residential consumption","Cubic metres","Cubic metres","72","thousands","3","v107638524","7.4.1","1036086.0","","","","1"
"2024-03","Ontario","2021A000235","Residential consumption","Cubic metres","Cubic metres","72","thousands","3","v107638524","7.4.1","914239.0","","","","1"
"2024-04","Ontario","2021A000235","Residential consumption","Cubic metres","Cubic metres","72","thousands","3","v107638524","7.4.1","566875.0","","","","1"
"2024-05","Ontario","2021A000235","Residential consumption","Cubic metres","Cubic metres","72","thousands","3","v107638524","7.4.1","244197.0","","","","1"
"2024-06","Ontario","2021A000235","Residential consumption","Cubic metres","Cubic metres","72","thousands","3","v107638524","7.4.1","213485.0","","","","1"
